indicador,tf,t_min,accA,accB2,accB3,mov_feito,n
css,M5,30,0.1013,0.211,0.3122,0.178,237
css,M5,60,0.1097,0.211,0.3544,0.2167,237
css,M5,90,0.1772,0.3376,0.4768,0.2596,237
css,M5,120,0.1814,0.3755,0.5105,0.28,237
css,M5,180,0.2447,0.3882,0.5021,0.3333,237
css,M5,240,0.2489,0.4093,0.5485,0.3925,237
css,M5,360,0.2152,0.3291,0.4599,0.4794,237
css,M5,480,0.2068,0.3713,0.5359,0.5339,237
css,M15,30,0.1097,0.2025,0.3418,0.178,237
css,M15,60,0.1181,0.2194,0.3586,0.2167,237
css,M15,90,0.1477,0.2363,0.3882,0.2596,237
css,M15,120,0.1561,0.2996,0.4219,0.28,237
css,M15,180,0.2025,0.3586,0.4726,0.3333,237
css,M15,240,0.2489,0.4262,0.5738,0.3925,237
css,M15,360,0.3418,0.5021,0.6371,0.4794,237
css,M15,480,0.3207,0.4937,0.6371,0.5339,237
css,H1,30,0.1519,0.2869,0.3797,0.178,237
css,H1,60,0.1603,0.2869,0.3797,0.2167,237
css,H1,90,0.1603,0.2869,0.3797,0.2596,237
css,H1,120,0.1519,0.2616,0.3797,0.28,237
css,H1,180,0.1688,0.2869,0.3882,0.3333,237
css,H1,240,0.1983,0.2996,0.4219,0.3925,237
css,H1,360,0.2321,0.346,0.4726,0.4794,237
css,H1,480,0.2996,0.4388,0.5485,0.5339,237
css,H4,30,0.1519,0.2743,0.384,0.178,237
css,H4,60,0.1519,0.2743,0.384,0.2167,237
css,H4,90,0.1519,0.2743,0.384,0.2596,237
css,H4,120,0.1519,0.2743,0.384,0.28,237
css,H4,180,0.1519,0.2743,0.384,0.3333,237
css,H4,240,0.1603,0.2827,0.3882,0.3925,237
css,H4,360,0.1603,0.2827,0.3882,0.4794,237
css,H4,480,0.1646,0.3122,0.4262,0.5339,237
cssm,M5,30,0.0886,0.2152,0.3882,0.178,237
cssm,M5,60,0.1097,0.2489,0.4008,0.2167,237
cssm,M5,90,0.1266,0.2363,0.384,0.2596,237
cssm,M5,120,0.1561,0.2658,0.4008,0.28,237
cssm,M5,180,0.2068,0.3333,0.4557,0.3333,237
cssm,M5,240,0.2658,0.4177,0.557,0.3925,237
cssm,M5,360,0.2911,0.4684,0.616,0.4794,237
cssm,M5,480,0.3122,0.481,0.6456,0.5339,237
cssm,M15,30,0.135,0.2574,0.3755,0.178,237
cssm,M15,60,0.1055,0.2152,0.3376,0.2167,237
cssm,M15,90,0.1224,0.2278,0.3586,0.2596,237
cssm,M15,120,0.1308,0.2278,0.3418,0.28,237
cssm,M15,180,0.1814,0.2827,0.4177,0.3333,237
cssm,M15,240,0.1814,0.2869,0.4219,0.3925,237
cssm,M15,360,0.211,0.3122,0.4515,0.4794,237
cssm,M15,480,0.2532,0.3882,0.5485,0.5339,237
cssm,H1,30,0.1266,0.2532,0.3418,0.178,237
cssm,H1,60,0.1308,0.2574,0.3544,0.2167,237
cssm,H1,90,0.1308,0.2574,0.3544,0.2596,237
cssm,H1,120,0.1181,0.2532,0.3586,0.28,237
cssm,H1,180,0.1477,0.2616,0.3713,0.3333,237
cssm,H1,240,0.1477,0.2743,0.384,0.3925,237
cssm,H1,360,0.173,0.3165,0.4135,0.4794,237
cssm,H1,480,0.173,0.3038,0.4008,0.5339,237
cssm,H4,30,0.1181,0.2278,0.3671,0.178,237
cssm,H4,60,0.1181,0.2278,0.3671,0.2167,237
cssm,H4,90,0.1181,0.2278,0.3671,0.2596,237
cssm,H4,120,0.1181,0.2278,0.3671,0.28,237
cssm,H4,180,0.1181,0.2278,0.3671,0.3333,237
cssm,H4,240,0.1392,0.2616,0.4008,0.3925,237
cssm,H4,360,0.1392,0.2616,0.4008,0.4794,237
cssm,H4,480,0.1603,0.2869,0.4135,0.5339,237
site,M5,30,0.0759,0.1814,0.2954,0.178,237
site,M5,60,0.0886,0.1857,0.2996,0.2167,237
site,M5,90,0.173,0.3291,0.4937,0.2596,237
site,M5,120,0.1814,0.3671,0.5105,0.28,237
site,M5,180,0.2447,0.4008,0.5274,0.3333,237
site,M5,240,0.2363,0.4177,0.5865,0.3925,237
site,M5,360,0.1814,0.27,0.3924,0.4794,237
site,M5,480,0.1266,0.2869,0.4599,0.5339,237
site,M15,30,0.1013,0.1857,0.3333,0.178,237
site,M15,60,0.097,0.211,0.3207,0.2167,237
site,M15,90,0.1013,0.1941,0.3122,0.2596,237
site,M15,120,0.1308,0.27,0.3713,0.28,237
site,M15,180,0.1646,0.3418,0.4852,0.3333,237
site,M15,240,0.2321,0.4219,0.5654,0.3925,237
site,M15,360,0.308,0.4684,0.6203,0.4794,237
site,M15,480,0.2321,0.4008,0.5612,0.5339,237
site,H1,30,0.1646,0.2785,0.3966,0.178,237
site,H1,60,0.1561,0.2827,0.4008,0.2167,237
site,H1,90,0.1561,0.2827,0.4008,0.2596,237
site,H1,120,0.1603,0.2658,0.3924,0.28,237
site,H1,180,0.1603,0.2532,0.3713,0.3333,237
site,H1,240,0.1983,0.2954,0.4135,0.3925,237
site,H1,360,0.2405,0.3249,0.4641,0.4794,237
site,H1,480,0.2532,0.384,0.5232,0.5339,237
site,H4,30,0.135,0.2574,0.3376,0.178,237
site,H4,60,0.135,0.2574,0.3376,0.2167,237
site,H4,90,0.135,0.2574,0.3376,0.2596,237
site,H4,120,0.135,0.2574,0.3376,0.28,237
site,H4,180,0.135,0.2574,0.3376,0.3333,237
site,H4,240,0.1435,0.2616,0.3502,0.3925,237
site,H4,360,0.1435,0.2616,0.3502,0.4794,237
site,H4,480,0.1561,0.308,0.4093,0.5339,237
