familia,janela,accA,accB,n,z,p,bh,passa_reality
1_momentum,5,0.1266,0.3122,237,-1.9958,0.977,False,False
2_ret_atr,5,,,0,,,False,False
3_effratio,5,,,0,,,False,False
4_zscore,5,,,0,,,False,False
5_rank_xs,5,0.1266,0.3122,237,-1.9958,0.977,False,False
6_disp_xs,5,,,0,,,False,False
7_rangevol_idx,5,0.1266,0.3122,237,-1.9958,0.977,False,False
7_rangevol_pairs,5,0.1323,0.3791,393,0.1693,0.4328,False,False
8_css,5,0.1199,0.3316,392,-1.7736,0.9619,False,False
8_cssm,5,0.1173,0.3878,392,0.5216,0.301,False,False
1_momentum,15,0.1511,0.4116,311,1.3323,0.0914,False,False
2_ret_atr,15,0.1029,0.4051,311,1.0981,0.1361,False,False
3_effratio,15,0.1423,0.3772,281,0.077,0.4693,False,False
4_zscore,15,0.135,0.3666,311,-0.3075,0.6208,False,False
5_rank_xs,15,0.1511,0.4116,311,1.3323,0.0914,False,False
6_disp_xs,15,0.1495,0.4057,281,1.0628,0.1439,False,False
7_rangevol_idx,15,0.1125,0.3441,311,-1.1274,0.8702,False,False
7_rangevol_pairs,15,0.1323,0.369,393,-0.2475,0.5977,False,False
8_css,15,0.1122,0.3214,392,-2.1909,0.9858,False,False
8_cssm,15,0.1199,0.3597,392,-0.626,0.7343,False,False
1_momentum,30,0.1662,0.4006,337,0.9705,0.1659,False,False
2_ret_atr,30,0.1513,0.3887,337,0.5204,0.3014,False,False
3_effratio,30,0.1707,0.4024,328,1.0265,0.1523,False,False
4_zscore,30,0.1365,0.3739,337,-0.0422,0.5168,False,False
5_rank_xs,30,0.1662,0.4006,337,0.9705,0.1659,False,False
6_disp_xs,30,0.1646,0.3963,328,0.7984,0.2123,False,False
7_rangevol_idx,30,0.1068,0.365,337,-0.3798,0.6479,False,False
7_rangevol_pairs,30,0.1323,0.3842,393,0.3777,0.3528,False,False
8_css,30,0.1097,0.3163,392,-2.3995,0.9918,False,False
8_cssm,30,0.125,0.3852,392,0.4173,0.3382,False,False
1_momentum,60,0.1624,0.4074,351,1.2541,0.1049,False,False
2_ret_atr,60,0.151,0.4074,351,1.2541,0.1049,False,False
3_effratio,60,0.1368,0.4274,351,2.0259,0.0214,False,False
4_zscore,60,0.1481,0.3818,351,0.2619,0.3967,False,False
5_rank_xs,60,0.1624,0.4074,351,1.2541,0.1049,False,False
6_disp_xs,60,0.1624,0.4074,351,1.2541,0.1049,False,False
7_rangevol_idx,60,0.1054,0.4017,351,1.0336,0.1507,False,False
7_rangevol_pairs,60,0.112,0.3817,393,0.2735,0.3922,False,False
8_css,60,0.1173,0.3393,392,-1.4606,0.9279,False,False
8_cssm,60,0.1607,0.3929,392,0.7303,0.2326,False,False
1_momentum,90,0.1891,0.4326,386,2.3393,0.0097,True,False
2_ret_atr,90,0.1762,0.4482,386,2.9701,0.0015,True,False
3_effratio,90,0.1839,0.4352,386,2.4444,0.0073,True,False
4_zscore,90,0.1632,0.456,386,3.2855,0.0005,True,False
5_rank_xs,90,0.1891,0.4326,386,2.3393,0.0097,True,False
6_disp_xs,90,0.1891,0.4326,386,2.3393,0.0097,True,False
7_rangevol_idx,90,0.1528,0.4197,386,1.8136,0.0349,False,False
7_rangevol_pairs,90,0.1425,0.3893,393,0.5861,0.2789,False,False
8_css,90,0.2143,0.4668,392,3.7558,0.0001,True,True
8_cssm,90,0.1531,0.4133,392,1.5649,0.0588,False,False
1_momentum,120,0.1891,0.4689,386,3.8112,0.0001,True,True
2_ret_atr,120,0.1839,0.4689,386,3.8112,0.0001,True,True
3_effratio,120,0.1788,0.4508,386,3.0752,0.0011,True,False
4_zscore,120,0.1891,0.4508,386,3.0752,0.0011,True,False
5_rank_xs,120,0.1891,0.4689,386,3.8112,0.0001,True,True
6_disp_xs,120,0.1891,0.4689,386,3.8112,0.0001,True,True
7_rangevol_idx,120,0.1632,0.4275,386,2.129,0.0166,False,False
7_rangevol_pairs,120,0.1476,0.3944,393,0.7945,0.2135,False,False
8_css,120,0.2015,0.4541,392,3.2342,0.0006,True,False
8_cssm,120,0.1837,0.4184,392,1.7736,0.0381,False,False
1_momentum,180,0.2358,0.4819,386,4.3369,0.0,True,True
2_ret_atr,180,0.1995,0.4741,386,4.0214,0.0,True,True
3_effratio,180,0.2124,0.4819,386,4.3369,0.0,True,True
4_zscore,180,0.1943,0.5078,386,5.3882,0.0,True,True
5_rank_xs,180,0.2358,0.4819,386,4.3369,0.0,True,True
6_disp_xs,180,0.2358,0.4819,386,4.3369,0.0,True,True
7_rangevol_idx,180,0.1865,0.4197,386,1.8136,0.0349,False,False
7_rangevol_pairs,180,0.1679,0.3893,393,0.5861,0.2789,False,False
8_css,180,0.2041,0.4872,392,4.5904,0.0,True,True
8_cssm,180,0.1913,0.4847,392,4.4861,0.0,True,True
