pair,atr_pips,spread_pips,spread_pct_atr
GBPNZD,132.25,0.8,0.605
GBPAUD,120.55,0.4,0.332
GBPJPY,113.35,0.6,0.529
EURNZD,107.5,0.7,0.651
GBPCAD,104.5,0.5,0.478
EURAUD,96.75,0.4,0.413
EURJPY,86.75,0.2,0.231
GBPUSD,82.85,0.5,0.604
EURCAD,81.05,0.8,0.987
CHFJPY,76.75,1.1,1.433
GBPCHF,73.9,0.5,0.677
USDJPY,72.075,0.1,0.139
AUDJPY,69.0,0.3,0.435
USDCAD,67.4,0.2,0.297
CADJPY,66.0,0.4,0.606
NZDJPY,62.65,0.4,0.638
EURUSD,62.5,0.1,0.16
NZDCAD,54.6,0.4,0.733
AUDUSD,52.85,0.6,1.135
AUDCAD,52.85,0.3,0.568
USDCHF,51.9,0.7,1.349
NZDUSD,50.725,0.8,1.577
AUDNZD,47.1,0.6,1.274
AUDCHF,46.1,0.3,0.651
NZDCHF,43.6,0.3,0.688
CADCHF,43.2,0.4,0.926
EURGBP,42.65,0.5,1.172
EURCHF,40.05,0.3,0.749
