entrada,+1h,+2h,+4h,T0+12h,T0+15h,fim_overlap,fim_sessao,ini_overlap
120,-0.4,-0.4,-0.2,-0.3,-0.1,-0.3,-0.3,-0.2
180,-0.6,-0.5,-0.5,-0.5,-0.4,-0.6,-0.6,-0.4
240,-0.7,-0.4,-0.3,-0.7,-0.3,-0.4,-0.4,-0.4
30,-0.5,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8
60,-0.7,-0.5,-0.3,-0.3,-0.0,0.1,0.1,0.0
90,-0.8,-0.5,-0.3,-0.4,-0.3,-0.3,-0.3,-0.1
ER>=0.4,-0.6,-0.9,-0.9,-1.1,-1.6,-1.5,-1.5,-1.4
ER>=0.6,-0.6,-0.9,-0.9,-1.1,-1.6,-1.5,-1.5,-1.4
z>=1.0,-0.6,-0.7,-0.7,-0.6,-0.6,-0.5,-0.5,-0.5
z>=1.5,-0.9,-0.8,-1.0,-0.9,-0.9,-0.7,-0.7,-0.6
